x,y,Position
-29.606508,-6.2276773,Sr. Data Science Engineer
-14.80581,-13.425065,Head of Data & Analytics
-33.48363,-11.151468,Data Engineer
23.853956,17.330666,Gerente 
-16.595411,8.2382,IT Recruiter
-15.146077,13.92627,PHD Student
-38.347836,3.362418,Software Developer
-23.58942,-20.40379,Data Scientist
-17.436762,19.545277,Credits Risk Analyst
-19.478683,-10.183816,Data & Analytics tech lead
18.580038,-20.033463,Analista de cobros
-38.222496,-11.454966,Data Engineer
-23.59233,-20.392128,Data Scientist
-17.957933,-4.0140495,BI Specialist
-33.69651,-11.461515,Data Engineer 
-22.40626,-13.887759,Senior Data Scientist
-30.498749,-13.251825,Data Engineer
-24.862299,-10.95922,Sr. Data Scientist
-36.331482,-0.49549854,Software Development Engineer
-23.59233,-20.392128,Data Scientist
-2.6835322,-16.45581,Consultor BI
-21.523838,-7.0518394,BI Analyst
-2.636666,-9.987156,Especialista BI & Analytics
-18.250555,21.923222, Ssr Business Control Analyst | Shipping 
-24.266396,-10.003892,Lead Data Scientist Socofar
-29.648523,-6.782686,Data Engineer Jr.
-6.225021,8.957933,Deputy Director of Non-Contributory Pensions Payment System
-22.096317,17.218891,ETL Developer
-23.59233,-20.392128,Data Scientist
-2.5152774,-11.321875,Tutor de Data Analytics
-22.394108,-13.89254,Senior Data Scientist
-32.558083,-6.4057345,Senior Data Engineer
-23.59233,-20.392128,Data Scientist
-14.645014,-22.003925,Data Analyst
-22.423498,-13.926114,Senior Data Scientist
-1.2101086,4.2524366,Chief Executive Officer
-32.04898,7.3395557,Data Scientist Engineer @ Applied Machine Learning Team
-28.756403,4.177463,Tutor Data Science
-19.956144,23.348991,FRAUD DATA ANALYTICS | DATA VISUALIZATION & ADVANCE ANALYTICS LEAD
-26.866037,-7.203172,Analytics Engineer
